MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Magdalenensee [tief.St.];Nitrat-Stickstoff;mg/l;0;4;2022;1,1369;0,7212;1,5526;2
Magdalenensee [tief.St.];Sauerstoffgehalt;mg/l;4;4;2022;13,65;11,9;15,4;2
Magdalenensee [tief.St.];Phosphor gesamt;mg/l;0;4;2022;0,0095;0,0078;0,0112;2
Magdalenensee [tief.St.];pH-Wert;;1;1;2022;7,95;7,9;8;2
Magdalenensee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;4;2022;0,594456;0,503311;0,685601;2
Magdalenensee [tief.St.];Phosphat-Phosphor;mg/l;0;4;2022;0,0011;0,001;0,0012;2
Magdalenensee [tief.St.];Sichttiefe;m;0;0;2022;3,85;3,6;4,1;2
Magdalenensee [tief.St.];Wassertemperatur;�C;0;0;2022;21,9;20,6;23,2;2
Maltschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;5;2022;20,7;18;23,4;2
Maltschacher See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;242,5;234;251;2
