MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Linsendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,007583;0,008525;0,008054;2
Linsendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,0015;0,001688;0,001594;2
Linsendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,563181;0,648429;0,605805;2
Linsendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2008;0,009;0,023;0,016;2
Linsendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2008;9;11,8;10,4;2
Magdalenensee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;4;4;4;2
Magdalenensee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;21,4;21,7;21,55;2
Magdalenensee [tief.St.];pH;pH-Wert;;1;1;2008;8,1;8,2;8,15;2
Magdalenensee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;496;499;497,5;2
Magdalenensee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;4;2008;0,00279;0,003;0,002895;2
Magdalenensee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;4;2008;0,001282;0,0033;0,002291;2
Magdalenensee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;4;2008;1,704756;2,110939;1,907848;2
Magdalenensee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;4;4;2008;0,034;0,0869;0,06045;2
Magdalenensee [tief.St.];O2;Sauerstoffgehalt;mg/l;4;4;2008;9,4;12,3;10,85;2
Maltschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;1,9;2,7;2,3;2
Maltschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;16,6;23,4;20;2
Maltschacher See [tief.St.];pH;pH-Wert;;1;1;2008;8,5;8,7;8,6;2
Maltschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;183;202;192,5;2
