MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2009;0,025;0,0615;0,039867;3
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2009;0,007892;0,028733;0,017384;3
Hafnersee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002575;0,001967;3
Hafnersee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,089957;0,862533;0,502117;3
Hafnersee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2009;0,53;1,525;1,043333;3
Hafnersee [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2009;0,1;0,4;0,266667;3
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,11855;0,70859;0,416307;3
Hafnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2009;0,13335;0,643567;0,399566;3
Hörzendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,1;1,2;1,15;2
Hörzendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;22,7;25;23,85;2
Hörzendorfer See [tief.St.];pH;pH-Wert;;1;1;2009;8,2;8,2;8,2;2
Hörzendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;466;514;490;2
Hörzendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2009;0,029213;0,052313;0,040763;2
Hörzendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;3;2009;0,001052;0,00235;0,001701;2
Hörzendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;3;2009;1,367151;2,723519;2,045335;2
Hörzendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;3;3;2009;0,0185;0,1261;0,0723;2
Hörzendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;3;3;2009;0,5;10;5,25;2
Keutschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,9;7,8;4,766667;4
Keutschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;4,6;21,5;15,266667;4
Keutschacher See [tief.St.];pH;pH-Wert;;1;1;2009;7,8;8,3;8,1;3
Keutschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;277;327;304;3
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,007258;0,009167;0,008317;3
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2009;0,0114;0,0335;0,022667;3
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;15;2009;0,009572;0,012766;0,010993;3
Keutschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,00245;0,00183;3
Keutschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,111583;0,321433;0,245646;3
Keutschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2009;0,1715;0,359;0,2418;3
Keutschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2009;1,5;7;4,966667;3
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,40212;1,1582;0,713763;3
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2009;0,393615;0,882916;0,587725;3
Klopeiner See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;5,5;7,9;6,1;4
Klopeiner See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;5,3;21,7;12,975;4
Klopeiner See [tief.St.];pH;pH-Wert;;1;1;2009;8;8,5;8,225;4
Klopeiner See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;222;254;239;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,006717;0,013333;0,009761;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2009;0,011;0,0534;0,037875;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;30;2009;0,010617;0,01899;0,015275;4
Klopeiner See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,001052;0,001052;4
Klopeiner See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,004793;0,062667;0,04324;4
Klopeiner See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2009;0,062;1,525;0,793125;4
Klopeiner See [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2009;0,1;0,3;0,175;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,23689;0,74799;0,537353;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2009;0,210496;1,180325;0,614139;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;20;2009;0,010947;0,012988;0,011814;4
Kraiger See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,55;2,7;2,625;2
Kraiger See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;22;24,4;23,2;2
Kraiger See [tief.St.];pH;pH-Wert;;1;1;2009;8;8,2;8,1;2
Kraiger See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;474;486;480;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,010475;0,015192;0,012834;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2009;0,0149;0,0311;0,023;2
Kraiger See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002958;0,002005;2
Kraiger See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,008658;0,015167;0,011913;2
Kraiger See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2009;0,1044;0,614;0,3592;2
Kraiger See [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2009;0,3;1,7;1;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2009;0,010494;0,015307;0,012901;2
Längsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,7;4,5;3,925;4
Längsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;8;21,5;16,275;4
Längsee [tief.St.];pH;pH-Wert;;1;1;2009;7,9;8,6;8,375;4
Längsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;376;417;398;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,009192;0,0214;0,01319;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2009;0,0286;0,0456;0,03555;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;13;2009;0,013543;0,023574;0,019159;4
Längsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,001289;0,001111;4
Längsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,053583;0,09875;0,074625;4
Längsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2009;1,365;1,985;1,68875;4
Längsee [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2009;0,1;0,2;0,125;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,37991;2,23492;1,473773;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2009;0,517185;2,206218;1,450595;4
Lavamünder Badeteich Südufer Steg;Sichttiefe;Sichttiefe;m;0;0;2009;2,5;2,5;2,5;1
Lavamünder Badeteich Südufer Steg;Wassertemperatur;Wassertemperatur;°C;1;1;2009;25,1;25,4;25,266667;1
Lavamünder Badeteich Südufer Steg;pH;pH-Wert;;1;1;2009;8,3;8,3;8,3;1
Lavamünder Badeteich Südufer Steg;K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;249;250;249,666667;1
Lavamünder Badeteich Südufer Steg;P-ges;Phosphor gesamt;mg/l;0;5;2009;0,01625;0,01625;0,01625;1
Lavamünder Badeteich Südufer Steg;P-ges;Phosphor gesamt;mg/l;3;3;2009;0,0157;0,0168;0,01625;1
Lavamünder Badeteich Südufer Steg;PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001926;0,001926;0,001926;1
Lavamünder Badeteich Südufer Steg;NO3-N;Nitrat-Stickstoff;mg/l;0;3;2009;0,00719;0,00719;0,00719;1
Lavamünder Badeteich Südufer Steg;NH4-N;Ammonium-Stickstoff;mg/l;3;3;2009;0,0119;0,0211;0,0165;1
Lavamünder Badeteich Südufer Steg;O2;Sauerstoffgehalt;mg/l;3;3;2009;7,7;8,2;7,933333;1
Leonharder See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,8;2,6;2,2;2
Leonharder See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;18,8;26,2;22,5;2
Leonharder See [tief.St.];pH;pH-Wert;;1;1;2009;7,8;8,3;8,05;2
Leonharder See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;413;421;417;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,020058;0,031408;0,025733;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;6;6;2009;0,0359;0,0389;0,0374;2
Leonharder See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002367;0,00171;2
Leonharder See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,008643;0,494652;0,251648;2
Leonharder See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;6;6;2009;0,0837;0,1586;0,12115;2
Leonharder See [tief.St.];O2;Sauerstoffgehalt;mg/l;6;6;2009;3;6,9;4,95;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2009;0,019819;0,031298;0,025559;2
Linsendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;3,5;3,8;3,65;2
Linsendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;13,8;18,4;16,1;2
Linsendorfer See [tief.St.];pH;pH-Wert;;1;1;2009;7,7;7,9;7,8;2
Linsendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;366;371;368,5;2
Linsendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,009267;0,009875;0,009571;2
Linsendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,002508;0,002683;0,002596;2
Linsendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,662224;0,861948;0,762086;2
Linsendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2009;0,0176;0,0212;0,0194;2
Linsendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2009;8,1;8,3;8,2;2
Magdalenensee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;3,1;3,8;3,45;2
Magdalenensee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;18;24,6;21,3;2
Magdalenensee [tief.St.];pH;pH-Wert;;1;1;2009;7,9;8;7,95;2
Magdalenensee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;513;535;524;2
Magdalenensee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;4;2009;0,00905;0,0094;0,009225;2
Magdalenensee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;4;2009;0,002156;0,00296;0,002558;2
Magdalenensee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;4;2009;1,78014;2,436198;2,108169;2
Magdalenensee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;4;4;2009;0,0198;0,0514;0,0356;2
