Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,007657;0,011714;0,009321;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2016;0,0189;0,0993;0,05655;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;30;2016;0,013431;0,021189;0,017083;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;20;2016;0,009846;0,012403;0,01074;4
Klopeiner See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,5;8,25;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,161453;0,611997;0,428025;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2016;0,186587;1,452442;0,776285;4
Klopeiner See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;4
Klopeiner See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;5,9;7,6;6,65;4
Klopeiner See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;4,8;20,9;13,75;4
Kraiger See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;5;8;6,5;2
Kraiger See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;483;520;501,5;2
Kraiger See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2016;0,647;1,18;0,9135;2
Kraiger See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,00565;0,00565;0,00565;2
Kraiger See [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2016;0,1;1,1;0,6;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0097;0,0116;0,01065;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2016;0,0159;0,0274;0,02165;2
Kraiger See [tief.St.];pH;pH-Wert;;1;1;2016;8,2;8,2;8,2;2
Kraiger See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Kraiger See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0022;0,0016;2
Kraiger See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3;3,2;3,1;2
Kraiger See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;20,4;22,8;21,6;2
Längsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;15;2016;0,5;31,62959;12,257412;4
Längsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;7;4,125;4
Längsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;387;429;408,25;4
Längsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2016;1,6;2,41;2,10325;4
Längsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,05;0,16211;0,115028;4
Längsee [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2016;0,1;0,1;0,1;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;13;2016;0,012554;0,017876;0,014415;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2016;0,0241;0,0386;0,0331;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0059;0,0128;0,009925;4
Längsee [tief.St.];pH;pH-Wert;;1;1;2016;8;8,5;8,25;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,234744;1,338764;0,694044;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2016;0,183406;1,455329;0,915169;4
Längsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;4
Längsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,6;6,5;4,875;4
Längsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;8,7;23,4;15,975;4
